id,name,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_verifications,neighbourhood,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,availability_30,availability_60,availability_90,availability_365,description,neighborhood_overview
1,Cozy Private room in Arts District,103.0,2022-04-14,within a few hours,0.8399823354091647,False,1.0,"[np.str_('government_id'), np.str_('phone'), np.str_('work_email')]",Arts District,Arts District,40.71673013799931,-73.96614166141458,Private room,6.0,2.0,2.0,4.0,"['Gym', 'Iron', 'Private entrance', 'Washer', 'Cooking basics']",115.0,,2023-03-14,2025-10-21,,,4.137783349180634,4.644258316970067,4.908580250075671,4.57186683538021,4.495393455540785,1.0,22.0,38.0,328.0,sit ut do minim nostrud minim laboris elit aliqua laboris consectetur laboris veniam do ut consectetur sit labore ullamco ipsum incididunt ipsum aliquip amet dolor ipsum ut laboris consectetur ea elit ipsum nostrud dolore veniam ut et enim nostrud dolore sit sit aliqua quis elit magna magna adipiscing dolore dolor ad labore ut consequat nostrud ut dolore sed adipiscing exercitation ullamco tempor dolore sed elit exercitation tempor Ut Lorem sed veniam ea consequat sit laboris minim commodo et elit exercitation tempor sit quis consectetur dolor veniam enim consectetur ex elit ex dolor ipsum veniam enim magna commodo eiusmod eiusmod dolor minim Lorem minim ad nisi ipsum dolore Ut sed eiusmod dolore ut magna magna elit laboris elit nostrud ullamco elit Ut elit ut incididunt dolore nostrud consectetur dolore sit quis adipiscing dolore ad ullamco consectetur nisi do ut ad nostrud do ipsum dolor eiusmod do tempor ut nisi incididunt nisi eiusmod Lorem exercitation sed nostrud quis dolore consectetur labore dolor ut ullamco sed magna aliquip aliqua amet consectetur,aliquip ullamco quis ut commodo incididunt enim eiusmod sit sit sed amet incididunt eiusmod adipiscing ut labore ex ea aliqua incididunt laboris sit ex sit ipsum Lorem ut ea sit sit minim veniam veniam nostrud consequat ipsum adipiscing magna veniam ullamco ea do
2,Cozy Entire home/apt in Financial District,180.0,2019-03-22,within an hour,0.9450169607675634,False,3.0,"[np.str_('phone'), np.str_('identity_manual'), np.str_('work_email'), np.str_('selfie')]",Financial District,Financial District,40.71811944594692,-73.99495565982464,Entire home/apt,3.0,2.0,4.0,7.0,"['Breakfast', 'Kitchen', 'Indoor fireplace', 'Heating', 'Laptop-friendly workspace', 'Washer']",140.0,1.0,,2021-07-01,,4.32879389298825,5.0,,,4.802914559208213,5.0,9.0,22.0,24.0,352.0,tempor dolore adipiscing eiusmod ea ipsum ut magna sed sit ut eiusmod nisi exercitation laboris aliquip nisi nostrud nisi do tempor ex ea magna et sit do ullamco magna sed ad do minim incididunt veniam incididunt quis laboris et consectetur elit ea magna aliquip do ea minim aliqua Ut ea dolore amet ipsum ea Ut ipsum ullamco magna commodo labore dolor aliqua minim aliqua magna nisi aliqua amet incididunt ea veniam magna sit consequat elit Lorem consequat incididunt ad laboris sed exercitation sit dolore dolor sit et eiusmod exercitation nostrud ut ea elit Lorem ipsum exercitation dolor ea et Lorem adipiscing commodo ad aliquip nostrud consectetur eiusmod ut enim ad Lorem enim,enim exercitation amet commodo veniam nostrud Lorem aliquip do veniam et veniam laboris enim nostrud amet sit laboris elit elit eiusmod consequat incididunt quis aliqua consequat quis ex Ut incididunt ullamco aliquip laboris do Ut aliquip ullamco tempor sed aliqua ut aliqua do minim ipsum nisi aliquip ea enim
3,Cozy Entire home/apt in Eastside,93.0,2022-07-02,within a few hours,0.7202153664356568,False,1.0,"[np.str_('phone'), np.str_('selfie'), np.str_('government_id'), np.str_('email'), np.str_('work_email'), np.str_('identity_manual')]",Eastside,Eastside,40.76719438858486,-73.93089448061582,Entire home/apt,5.0,4.0,3.0,4.0,"['Cooking basics', 'Dryer', 'Breakfast', 'Washer', 'Free parking', 'Hot water', 'Heating', 'Private entrance', 'Carbon monoxide detector', 'Smoke detector', 'Elevator', 'Wifi', 'Air conditioning', 'Lock on bedroom door', 'Fire extinguisher', 'First aid kit', 'Hangers', 'Indoor fireplace', 'Hot tub']",215.0,9.0,2022-09-07,2025-05-18,4.485336674072442,4.540162036075866,5.0,4.427404315425362,4.484820828246696,4.839844139148487,5.0,24.0,53.0,55.0,342.0,sed exercitation laboris ex Lorem dolor aliquip Ut dolore do laboris aliquip incididunt ut sit magna eiusmod magna ex dolor Lorem aliqua consectetur do tempor dolore exercitation ipsum quis ullamco dolore amet aliqua sit nisi aliquip exercitation aliquip eiusmod incididunt commodo dolore nisi magna nisi nostrud et eiusmod sit labore tempor exercitation sit commodo enim consequat ipsum ullamco ea ex elit elit ad exercitation ullamco eiusmod exercitation Lorem ullamco,nisi elit aliqua nisi quis ut dolor aliqua dolore consectetur quis Ut labore dolore elit nisi amet consequat incididunt eiusmod ut dolore sed sed veniam veniam adipiscing nisi consequat ex magna ut labore exercitation
4,Cozy Entire home/apt in Old Town,15.0,2018-07-29,,0.8162177757005977,False,2.0,[np.str_('government_id')],Old Town,Old Town,40.745948330105016,-73.98669144519062,Entire home/apt,10.0,3.0,3.0,7.0,"['TV', 'Iron', 'Lock on bedroom door', 'Air conditioning', 'Cooking basics', 'Hair dryer', 'Dryer', 'Hot tub', 'First aid kit', 'Free parking']",,8.0,2018-10-19,2021-04-01,4.861238626017561,4.955001280390878,4.314516601413552,5.0,4.665748919671856,4.470459599867114,,29.0,38.0,44.0,226.0,elit veniam consequat veniam ad do sit elit labore elit laboris commodo ut aliquip adipiscing ex commodo exercitation Lorem consectetur ipsum adipiscing elit laboris et laboris ut ad do sit quis incididunt dolore elit minim adipiscing aliquip veniam Lorem consequat exercitation consectetur ut tempor nostrud quis sit consectetur incididunt quis ut ad commodo enim labore dolor nostrud dolore commodo elit eiusmod veniam elit nisi Lorem ea Ut consequat ea ea incididunt consectetur consequat quis exercitation ut dolor ullamco sit dolore ea Ut incididunt amet veniam dolore ut ullamco Lorem ipsum ex laboris sit magna veniam aliquip sed et enim nisi dolor ex ut ut consectetur amet laboris consequat enim tempor minim ut do exercitation ipsum ut adipiscing dolore Ut elit Ut consequat amet incididunt dolore consectetur aliqua quis dolor ullamco nostrud elit labore Lorem minim consequat et sit elit consequat,magna Lorem nisi laboris tempor tempor dolor exercitation Lorem ea aliquip exercitation ipsum do minim enim sed exercitation veniam adipiscing do ipsum nisi consequat ut ex sit ex veniam ut tempor aliquip aliquip incididunt consectetur sit do veniam tempor aliquip ex ut do sed ipsum consequat ut veniam adipiscing aliqua ullamco eiusmod consequat nisi aliquip aliquip dolore sed amet nostrud aliqua dolore magna ipsum et Lorem aliquip labore ea Ut incididunt ad ea quis enim
5,Cozy Entire home/apt in Old Town,107.0,2019-10-28,within an hour,0.9555523710621843,True,1.0,"[np.str_('email'), np.str_('identity_manual'), np.str_('selfie')]",Old Town,Old Town,40.799177887833466,-74.00524761658227,Entire home/apt,5.0,3.5,5.0,6.0,"['Kitchen', 'Hot water', 'Cooking basics', 'Smoke detector', 'Carbon monoxide detector', 'Hot tub', 'Laptop-friendly workspace', 'Gym', 'Lock on bedroom door']",165.0,35.0,2019-12-24,2020-10-05,4.2355214995307495,4.880580871130973,4.596458830857023,4.556391085697617,4.5169550763259565,,5.0,30.0,40.0,67.0,211.0,nisi consequat et nisi do eiusmod ea et aliqua sit ut commodo ea nostrud consectetur ex exercitation tempor elit sed Lorem amet adipiscing magna veniam nostrud do tempor ad exercitation dolor magna amet ut quis ut enim Ut ut Ut nisi Ut adipiscing amet ut laboris labore quis incididunt veniam labore veniam nostrud aliqua veniam aliqua dolore amet sit,sit ex dolor Lorem ea do adipiscing ad amet et laboris amet nisi ea exercitation do do minim consectetur exercitation ut minim ea dolore ea ut ad amet sed magna enim consectetur laboris aliqua sit ea dolor ullamco tempor do incididunt laboris minim minim exercitation consectetur aliqua quis incididunt eiusmod consectetur aliqua minim aliquip enim consequat nostrud minim veniam elit sit et
6,Cozy Entire home/apt in Riverside,72.0,2020-05-29,within a few hours,,False,4.0,"[np.str_('selfie'), np.str_('email'), np.str_('work_email'), np.str_('phone'), np.str_('government_id'), np.str_('identity_manual')]",Riverside,Riverside,40.7226885914803,-74.01034495214022,Entire home/apt,1.0,1.0,5.0,3.0,"['First aid kit', 'Lock on bedroom door', 'Hangers', 'Elevator', 'Hot tub', 'Dryer', 'Free parking', 'Iron', 'Washer', 'Hair dryer', 'TV', 'Pool', 'Gym', 'Fire extinguisher', 'Hot water', 'Air conditioning', 'Cooking basics', 'Carbon monoxide detector']",195.0,,,,,,,,,,,11.0,13.0,43.0,352.0,do enim quis consectetur nisi laboris eiusmod eiusmod exercitation aliqua ad ullamco sit aliqua dolore consequat minim ullamco eiusmod ut incididunt veniam et ullamco nisi exercitation dolore nostrud adipiscing commodo labore et enim dolore nostrud commodo Ut Ut minim amet sed minim magna laboris eiusmod elit exercitation ipsum minim enim do sit enim tempor ut Ut elit exercitation enim commodo labore tempor ea elit nisi dolor nisi laboris Lorem et ut do nisi nostrud tempor amet sed eiusmod minim dolore incididunt dolore minim sed magna magna nisi nostrud magna enim ex ut do ullamco ut aliqua nostrud do dolore ea ut nostrud ea aliqua veniam ut consectetur Ut ea ad adipiscing ex consectetur et elit minim magna ut consequat labore amet labore eiusmod ipsum minim veniam magna sit labore tempor dolor aliquip consequat enim consectetur ipsum sed tempor veniam ut tempor exercitation do ipsum ut ullamco et Lorem ad Lorem ut ad ea tempor minim ullamco tempor exercitation minim Lorem ipsum ut ipsum quis aliqua ullamco consectetur aliqua dolore consectetur labore ad ea amet minim amet do sit tempor do nisi veniam amet incididunt consequat sed magna commodo ut veniam sit nostrud do sed Lorem et incididunt ut minim,enim ut elit commodo laboris consectetur eiusmod quis sit ut nisi magna ea enim aliquip adipiscing ad ea aliquip sed ex consectetur veniam labore incididunt ut ut do exercitation incididunt tempor laboris tempor ut minim ut aliqua aliquip Lorem incididunt commodo sed incididunt commodo elit eiusmod commodo magna ut ipsum labore minim labore ipsum enim minim laboris ut ad consectetur tempor nostrud do tempor labore magna amet labore ullamco sed consequat dolore enim exercitation laboris do dolor sit
7,Cozy Shared room in Westside,189.0,2021-06-20,within an hour,0.7232843934194322,False,7.0,[np.str_('identity_manual')],Westside,Westside,40.73108301010275,-74.01865770848798,Shared room,3.0,3.0,2.0,7.0,"['Hot water', 'Kitchen', 'Dryer', 'Breakfast', 'Air conditioning', 'Fire extinguisher', 'Carbon monoxide detector']",55.0,2.0,2022-02-04,,4.932826211858769,,4.629189742953188,4.353902194572029,4.684216437993087,5.0,4.91621817148882,18.0,48.0,57.0,162.0,magna ullamco Ut Lorem tempor exercitation incididunt sit quis consectetur ad consequat dolor labore eiusmod ea exercitation minim dolore minim ea enim ex amet dolore Lorem adipiscing dolor nostrud et et ut nostrud exercitation dolore sit dolore ex nisi enim dolore eiusmod nisi magna Ut ea ullamco sed ut et ut laboris incididunt minim ut ipsum tempor ullamco aliquip veniam laboris magna dolor incididunt incididunt laboris ipsum ullamco sit amet amet elit ea quis exercitation adipiscing consequat aliquip enim magna ipsum amet ullamco ut veniam ex tempor sed labore minim ad consequat do ullamco commodo laboris amet sit labore nisi nostrud minim laboris ad commodo magna commodo ex adipiscing ea do veniam,ea ut minim ut dolor incididunt aliqua ea ut dolor consectetur exercitation consectetur elit aliquip incididunt commodo ipsum ex et laboris do aliquip ut incididunt et nostrud sit ullamco labore exercitation ullamco veniam exercitation minim incididunt sit ex ut ipsum exercitation ad eiusmod ullamco ea quis ipsum do ut dolor sed aliquip nisi aliquip dolor dolore labore ad ea incididunt magna ad labore labore elit ullamco Ut et
8,Cozy Private room in Downtown,21.0,2017-05-26,,0.8627603105596754,False,5.0,"[np.str_('identity_manual'), np.str_('email'), np.str_('selfie'), np.str_('work_email'), np.str_('government_id'), np.str_('phone')]",Downtown,Downtown,40.79842407168016,-73.97771439214331,Private room,3.0,1.0,4.0,4.0,"['Hot water', 'Iron', 'Free parking', 'Wifi', 'Washer', 'Essentials', 'Fire extinguisher', 'Hot tub', 'Kitchen', 'Indoor fireplace', 'Carbon monoxide detector', 'Dryer', 'Hangers']",105.0,2.0,,,4.8763505365597375,4.358719938510729,5.0,,,4.911768258831366,4.539721393198344,2.0,24.0,48.0,365.0,exercitation consectetur elit enim aliqua ea minim incididunt ullamco consectetur tempor dolor Ut elit nostrud ullamco commodo ipsum adipiscing quis aliquip tempor eiusmod do commodo sit ipsum ullamco ut laboris ipsum ea ex Ut nisi nostrud Ut Lorem Lorem quis ex minim eiusmod labore ut Lorem ex consectetur minim nostrud dolor consectetur quis dolore ullamco aliquip laboris minim et aliquip nostrud ex aliqua dolore ut magna enim ullamco Ut consectetur nostrud consectetur nostrud dolore ipsum enim adipiscing Ut dolor consequat aliqua nisi eiusmod incididunt ex ipsum minim Ut nisi labore ipsum nisi quis,ut ut nostrud aliqua labore laboris consequat ea veniam ut amet Lorem commodo laboris ut quis dolore consectetur exercitation incididunt enim do ea labore minim aliquip ad nisi exercitation ut sit ea quis Ut veniam minim consectetur incididunt amet Lorem ex
9,Cozy Private room in Northside,103.0,2020-06-12,within a few hours,0.9585227484754886,False,1.0,[np.str_('government_id')],Northside,Northside,,-74.00123890114546,Private room,1.0,2.0,3.0,5.0,"['Breakfast', 'Laptop-friendly workspace', 'Smoke detector', 'Kitchen', 'Hair dryer', 'Carbon monoxide detector', 'Cooking basics', 'Free parking', 'Hot water', 'Hangers', 'Washer', 'First aid kit']",80.0,2.0,2021-04-11,2023-01-05,4.875521060737512,4.495237986153937,4.05221931940407,4.972358191311348,4.20378934992179,4.979712572494156,4.760045499442228,18.0,25.0,52.0,157.0,Lorem elit ut eiusmod veniam veniam aliquip quis ullamco et et consequat tempor tempor ea Ut labore ad et veniam dolor Lorem dolore enim incididunt ipsum ipsum quis ullamco nostrud commodo ullamco ex magna ut sed nisi dolor ea ex exercitation sed incididunt nisi et nostrud amet exercitation labore ullamco dolor Lorem Lorem,sed dolore ut ut consectetur do consectetur labore Lorem veniam elit aliqua nisi ea laboris ipsum Ut elit labore ad ipsum minim dolore incididunt do laboris dolore eiusmod aliquip amet consectetur sed veniam consectetur Lorem ullamco ex aliqua ex commodo consectetur commodo Ut elit Ut incididunt adipiscing et ex nostrud enim eiusmod consectetur minim quis et nostrud nostrud amet do tempor Ut amet veniam do sed incididunt veniam aliqua ad ipsum Lorem dolor ex quis minim consectetur aliqua do magna ex commodo sit consequat aliquip labore enim enim nostrud eiusmod ullamco
10,Cozy Private room in Central,122.0,2018-08-05,within a few hours,0.8770856628859479,False,1.0,"[np.str_('email'), np.str_('identity_manual'), np.str_('government_id')]",Central,Central,40.74697992206785,-74.01783520974128,Private room,7.0,2.5,3.0,3.0,"['Indoor fireplace', 'Essentials', 'Hair dryer', 'Hot tub', 'Pool', 'Hangers', 'Kitchen', 'Gym', 'TV', 'Hot water', 'First aid kit', 'Lock on bedroom door', 'Fire extinguisher', 'Heating', 'Breakfast', 'Air conditioning', 'Carbon monoxide detector']",100.0,4.0,2018-10-23,,,4.544969729736113,,4.70522427469947,5.0,4.7515762546722335,5.0,0.0,20.0,36.0,,consectetur eiusmod et ex veniam aliquip do quis do incididunt Lorem commodo ut enim Lorem Ut amet aliquip Lorem ipsum ut nostrud sed nisi elit amet sit consequat enim ex nostrud eiusmod enim ad adipiscing incididunt Ut labore ea consequat quis laboris ullamco ut sit adipiscing incididunt dolore laboris dolore consequat aliqua nostrud sed ipsum Ut minim magna nostrud quis dolore do quis ullamco nostrud tempor aliqua minim ut dolore labore enim nisi aliqua aliquip laboris ad Ut consequat Lorem aliqua nostrud adipiscing ea consequat consectetur ad sed laboris dolore incididunt dolore do quis magna labore exercitation aliqua labore adipiscing et veniam minim eiusmod veniam amet nisi et Ut laboris dolore aliqua nostrud labore quis labore Ut nisi enim commodo consectetur eiusmod minim sed magna consequat consequat ullamco aliqua nisi labore tempor ipsum sed commodo Lorem ut ullamco adipiscing et ut ex consectetur enim do aliquip consectetur ipsum exercitation ut minim enim nisi quis veniam eiusmod commodo sit consequat incididunt sed ullamco et consectetur,nisi commodo nisi ipsum exercitation sed incididunt ut minim adipiscing adipiscing tempor dolore sit incididunt et sed magna quis ut laboris ut ipsum tempor amet laboris adipiscing do labore ex ullamco ullamco sit eiusmod
